date,title,content
"June 29, 2018 | Ashlie Chandler",Risky business,"Eating salmon may be good for you, but catching them for a living could be hazardous to your health.Commercial salmon fishermen in Alaska suffer from hearing loss at more than five times the national rate and also face higher rates of other serious health problems, according to a new study led by a researcher in the UW Department of Environmental & Occupational Health Sciences (DEOHS) and others from the School of Public Health.""Commercial gillnet fishing is difficult and dangerous work,"" said senior author Debra Cherry, a DEOHS adjunct associate professor. ""Gillnetting has unique risks compared to other types of fishing, especially for upper extremity injury. Fishermen have to set out and reel in the long net and pick off each salmon.""The study, published in the Journal of Agromedicine, surveyed and assessed a group of gillnet fishermen along Alaska's Copper River who catch and sell what some call the world's finest salmon. The study was conducted in partnership with Alaska Sea Grant.About 80 percent of fishermen who completed a hearing test had a pattern suggestive of noise-induced hearing loss, compared with the 15 percent norm for Americans. They also had significantly higher rates of upper extremity injuries, such as carpal tunnel syndrome and tendonitis, and were at increased risk for sleep apnea.Researchers found evidence of upper extremity disorders of the hand, wrist, elbow and shoulder combined in 70 percent of physical exam participants. Rotator cuff tendonitis, in particular, affected 40 percent of participants. The national norm is 8 percent to 14 percent.""The fleet is self-employed. There is no corporate entity that protects them,"" Cherry said. ""We need to be mindful of the risk, provide guidance to these fishermen and advocate for the promotion of the least risky work practices.""The start of salmon fishing season on the famed Copper River in Cordova, Alaska, is met every May with fanfare by people in the Pacific Northwest. The wild salmon is prized for its high fat content and rich flavor.Some 550 fishing vessels are licensed to use drift gillnets to catch salmon. The nets are hung vertically in the water, up to 150 fathoms in length, drifting with the tide and current.Cherry also points out the small size of typical boats used for gillnetting, which often have crews of only one to three people. ""Fishermen are at risk of noise exposure because they're working so close to the boat's engine. It's just right there,"" she said. ""However, many of the fishermen also had loud hobbies, such as hunting and snowmobiling, so we can't say for sure that their hearing loss was tied to their job.""The potentially high prevalence of obstructive sleep apnea is also concerning, say the authors. Less sleep combined with poor quality sleep may exacerbate fatigue during the fishing season.Researchers surveyed fishermen before and halfway through the 2015 fishing season, which generally lasts four months. Study co-author Torie Baker, a marine advisory agent at Alaska Sea Grant, and members of Cordova District Fishermen United invited 600 fishermen to answer questions about medical and work history, sleep habits, alcohol and tobacco use, mental health, physical fitness and noise exposure.Twenty fishermen underwent a complete physical exam, where their hearing and aerobic fitness were tested. Some were also outfitted with Fitbits to track activity and sleep habits.Nearly 80 percent of the fishermen considered themselves healthy and had evidence of above-average fitness before fishing season began. Compared to the general Alaskan population, study participants reported less tobacco use, more regular doctors' visits for health maintenance and higher rates of health insurance.Seventy percent of fishermen in the study were overweight or obese, which is about average for the population of Alaska, and participants reported less aerobic exercise during the fishing season, likely due to cramped space on fishing vessels.Busy work schedules and excessive fatigue were also reported. Fishing periods usually lasted 24 to 48 hours, with little chance of sleep and unpredictable bursts of heavy activity.Sixty-six fishermen took part in the preseason online survey, and 38 responded to the midseason survey. Most fishermen in the study were white males, at an average age of 49 with 27 years of commercial fishing experience.The U.S. National Institute for Occupational Safety and Health funded the study through the Pacific Northwest Agricultural Safety and Health Center within DEOHS. Lead author Carly Eckert is a doctoral student in the UW Department of Epidemiology."
"June 25, 2018 | Jolayne Houtz",Making workplaces safer through science,"Vanessa Vargas showed up for her first day at her new job with her heart pounding so loud it nearly drowned out the sound of construction equipment at the Seattle building site where she had been hired as a carpenter apprentice.Vargas was the youngest person on the work site, the least experienced—and the only woman.“My adrenaline’s going, and I’m just trying to be careful of every move I make so I look like I know what I’m doing,” Vargas recalled. “You don’t want to make any mistakes.”Persistent job stress like that can take a toll on your health and leave an unmistakable signature behind within your own blood. Now researchers in the UW Department of Environmental & Occupational Health Sciences (DEOHS) are using those biological markers in a first-of-its-kind study that will objectively measure differences in stress biomarkers among both women and men construction workers.The stress study builds on earlier research by a DEOHS research team that found Washington women construction workers were significantly more likely than men to report being injured at work and to feel high levels of stress.“For women construction workers, we know that their gender puts them at greater risk for on-the-job injuries and illnesses,” said DEOHS Professor Noah Seixas, who is overseeing the study.The study is one of several new pilot projects led by DEOHS faculty and funded annually by the Washington State Legislature through allocations from the state Medical Aid and Accident funds. The money acts as seed funding for innovative approaches to prevent and reduce workplace illnesses and injuries.Vargas was among a dozen construction workers who volunteered recently to participate in the stress study at the Renton Carpenters Local 30 Union Hall.UW students and faculty helped the workers complete a questionnaire about their health and sources of stress both on and off the job and took height and weight measurements. A nurse collected a blood sample from each participant. The samples will be analyzed at a UW lab for biomarkers of stress in the workers’ immune, inflammatory and hormone response systems.When the study is complete later this year, researchers will have data from 40 construction workers, including women and men at both the apprentice and more experienced journey levels and across different trades. Partners in the research include the Carpenters Employers Apprenticeship Training Trust, the Sheet Metal Workers Local 66 and the Seattle Area Pipe Trades Apprenticeship.Just 3 percent of the nation’s skilled trades workforce are women—about the same level as in the 1970s. That’s despite relatively high wages and a nationwide shortage of skilled construction labor.Widespread gender discrimination, isolation, sexual harassment and ill-fitting personal protective gear designed for men are among the stressors tradeswomen face in what is one of the most dangerous professions, said Hannah Curtis, DEOHS research coordinator.“We need better data on how stress affects construction workers’ health and their ability to communicate their needs and work safely,” Curtis said. “That will inform programs to improve workplace culture and training and potentially open the door for more women to consider careers in the trades.”Several study participants said they had experienced discrimination on the job but also saw signs of progress.Betty Cormier has worked in construction for three years, doing framing and concrete work. While the job is tough, she believes her co-workers and supervisor take a personal interest in her welfare and safety on the job, she said.Vargas said she also sees things improving. Recently, she noticed what she calls “juvenile pictures” scribbled on the wall of her job site. The next day, she came back to find that the graffiti had been covered with plywood.“I feel like people are pretty respectful of me. You may overhear things that make you uncomfortable sometimes, but I just keep on working,” she said."
"June 20, 2018 | Ashlie Chandler",Promoting healthy aging,"Editor’s note: This is part of an occasional series of Q-and-A interviews with students in the UW Department of Environmental & Occupational Health Sciences (DEOHS).My thesis is looking at disaster resilience for older adults in King County. I’m planning to interview senior center directors about how their organizations can support older adults’ health and safety during and after a natural disaster. I’ve also been working with my adviser, DEOHS lecturer Nicole Errett, on a project funded by the Robert Wood Johnson Foundation that looks at how state laws address public health during disaster recovery. For my practicum, I’m working with Lecturer Tania Busch Isaksen and partners at Public Health—Seattle & King County to assess how an innovative risk communication tool (it’s a comic!) can improve older adults’ understanding of the health risks of extreme heat. As people age, their bodies have a harder time adapting and their risk of heat-related illness increases.One of my favorite classes was through the Livable City Year program. I was on a team with forestry graduate students, who were amazing at identifying trees. We spent the quarter working with Tacoma’s urban forester and planner to develop recommendations for the city’s upcoming tree planting project. We focused on how the project could be implemented in partnership with the community to address inequities in access to urban green space.I’ve loved observing and being part of civic life in Seattle; it’s a really interesting time to be in this city and to see how it grapples with challenges like homelessness, gentrification and rapid growth. We have fantastic civic servants who care deeply about making Seattle and King County a healthier, more equitable and more resilient place to live.To find a PhD program where I can continue to explore solutions to the challenge of creating policies, programs and environments that support healthy aging and promote health equity. After that, I see myself working for a government agency or a think tank that’s committed to partnering with communities to promote health and well-being at every age.Public health is a truly collaborative field, and that’s really fulfilling to be a part of. I think public health makes the biggest impact by engaging a diverse group of partners and working at a systems level to promote health and address social inequities.My hometown is Atlanta, and I was excited to live in a new part of the country. I thought the UW’s connections to local, county and state government would offer valuable opportunities for connecting my studies to policy and practice. I also appreciated how many amazing schools and interdisciplinary programs the UW offered, because I wanted to integrate my public health courses and research with other disciplines such as public policy, sociology and environmental science.This spring, I volunteered to help organize an event called Worker’s Memorial Day that honored the 65 workers who lost their lives on the job in Washington state in 2017. I’ve also put a lot of time recently into working with students and staff in my department to make sure next year’s incoming students feel welcome and supported. We’re creating a mentor program and weekly brown-bag lunch to create a space where first-years can learn from each other. In my free time, running has been a great way to explore and get away from my laptop. I also like to bake bread, and my friends tease me for this, but I love making friends with my neighborhood cats.Don’t be afraid to ask tough questions before you decide on a program. Wherever you end up, finding mentors makes all the difference in the world.Ashlie Chandler is a content strategist and writer at the UW School of Public Health."
"June 14, 2018 | Amanda Pain",“Their voices can be quite powerful”,"At the Western Hemisphere’s busiest land border crossing, tens of thousands of vehicles wait each day, engines idling, to cross between San Diego and Tijuana, Mexico.Researchers know that the 30,000 residents of San Ysidro, on the US side of the crossing, live with spikes in air pollution, higher levels of asthma and other negative effects from those car emissions.But what’s happening just across the border in Tijuana, one of Mexico’s largest cities?“It is all one shared air basin,” said Edmund Seto, associate professor in the UW Department of Environmental & Occupational Health Sciences (DEOHS).Now Seto is working with researchers in Mexico and the US on a new phase of the air quality study that he hopes will encourage binational emissions reduction. “Air pollution can’t be solved on the US side alone,” he noted.Seto and his colleagues launched the new study with a $100,000 grant from the North American Development Bank. Study investigators come from the University of Washington, San Diego State University, Autonomous University of Baja California and Casa Familiar, a local community development nonprofit.They will install six air-quality monitoring sites throughout Tijuana to sample the air and provide real-time data to local residents as well as investigators—an innovative approach that puts information about air pollution into the hands of those most affected by poor air quality.The project builds on an earlier study led by Seto and colleagues that used low-cost monitors to measure air quality in San Ysidro, a low-income community about a 30-minute drive south of downtown San Diego.Air pollution is associated with a range of health risks, from heart and lung diseases to diabetes, obesity and dementia. A 2015 study found that residents in the San Ysidro area have rates of asthma and chronic obstructive pulmonary disease about 20 percent higher than the county as a whole.This new phase of research comes at an important juncture for people living near the border.Every day, nearly 70,000 vehicles and 20,000 pedestrians travel northbound through the San Ysidro border crossing. Northbound traffic at this border point is projected to increase 87 percent by 2030.A redevelopment project now under way aims to reduce congestion and idling vehicles that can wait two hours or more to cross the border. It is expected to be completed by summer 2019 and will have 62 inspection booths across 34 lanes.“The hope is these changes have a positive effect on air quality,” Seto said. “High levels of pollutants are detected with so much traffic.”The study’s focus on ensuring local residents are engaged in and actively contribute to the research aims to put decision-making authority in the hands of the community.In Seto’s previous study in San Ysidro, community members suggested monitoring sites, attended community meetings and conferred with investigators and the California Environmental Protection Agency.“Community involvement increases engagement around air quality issues,” Seto said. “It can be difficult for residents to address emission reductions alone, but once they have a dialogue with government agencies, their voices can be quite powerful.”Now, investigators will create a new steering committee with San Ysidro and Tijuana residents and facilitate engagement between Tijuana residents and members of the Secretariat for Environmental Protection, the environmental authority in the Mexican state of Baja California.“Hopefully, this can be the start of something with lasting positive impact on the community,” Seto said.The research team is also seeking additional funding to expand monitoring beyond the San Ysidro-Tijuana area.“We want to leverage our current community engagement model to expand our reach,” Seto said. “Our focus has been on border crossings, but people in other communities have other air quality concerns. And engaging residents means listening to those concerns and addressing them.”"
"June 14, 2018 | Amanda Pain",Honoring an inspirational leader,"A UW climate-change researcher dedicated to her students’ success was selected as the 2018 outstanding faculty mentor by students in the Department of Environmental & Occupational Health Sciences (DEOHS).Lecturer Tania Busch Isaksen was honored this month with the coveted award, which is given annually by members of the Graduate Student Advisory Committee. She is also a clinical assistant professor in the UW Department of Health Services. Busch Isaksen is known for her approachability and dedication to her students’ research and career goals, said Meagan Jackson, who worked closely with Busch Isaksen as a master’s student and nominated her for the award.“Tania is skilled at breaking down complex information so it is easy for people to understand,” Jackson said. “She is passionate about climate change, and she encourages students to make better decisions that will affect change on a local and global scale.”As Jackson’s thesis adviser, Busch Isaksen challenged Jackson to think about how each person’s day-to-day activities affect the environment and how the conditions in which people are born, live and work affect their health decisions.“She advised me both in academics and my professional development,” Jackson said. “She encouraged me to be a hard worker while balancing my personal life.”Busch Isaksen earned her PhD from the UW in Environmental and Occupational Hygiene. She currently serves as the DEOHS undergraduate program coordinator.Her research focuses on health outcomes associated with extreme heat and climate change, as well as occupational health and safety risks in the cannabis industry. She has more than 25 years of environmental public health experience in both practice and academic settings.DEOHS student Annie Doubleday, who is pursuing her MPH, said she reached out to Busch Isaksen early in her program because of their shared interest in climate change research. Busch Isaksen serves as Doubleday’s thesis adviser on a project studying the health effects of wildfire smoke. With her help, Doubleday has also involved stakeholders from the state departments of Health and Ecology in her research.“I really admire her ability to work effectively with people of all disciplines and backgrounds,” Doubleday said. “I have learned a lot from watching her rigorous approach to research and how involving practice partners ensures her work has impact beyond academia.”Both Jackson and Doubleday say Busch Isaksen cares about them as people, not just as students.“She loves working with students,” Doubleday said. “She goes out of her way to make sure students are doing well and making the most of their degree program.”Both undergraduate and graduate students seek Busch Isaksen out, knowing they can stop by her office anytime, Jackson said.“Tania excels at not only answering student questions, but connecting those students with relevant research and practice opportunities that address their questions,” Jackson said."
"June 12, 2018 | Jolayne Houtz",Celebrating our 2018 graduates,We’re proud of the 48 students in the UW Department of Environmental & Occupational Health Sciences (DEOHS) who graduated this weekend! We can’t wait to see what our graduates will do next.Enjoy this selection of photos from Friday’s DEOHS ceremony at Foege Hall and from Sunday’s School of Public Health celebration at the Hec Edmundson Pavilion on the UW campus.
"June 7, 2018 | Sarah Fish",Students leading the way,DEOHS graduates are tomorrow's health and safety leaders. We’re celebrating our soon-to-be 2018 graduates with this new video featuring promising research led by our students this year. 
"June 4, 2018 | Lisa Hayward Watts",Arsenic in the water,"Nothing about Lake Killarney’s idyllic appearance hints at the potential cancer risk lying below the surface.The shallow lake in South King County, Washington, is ringed with homes and the headquarters of the international relief organization World Vision. The lake is favored by waterfowl, rich with aquatic plants and stocked with rainbow trout, largemouth bass and other fish.So it came as a surprise to Dr. James Gawel when he and his undergraduate students from the University of Washington (UW) Tacoma measured high levels of arsenic in water samples from Lake Killarney.“It was pretty amazing to find this little lake that broke the rules about what we thought we knew about lake chemistry,” Gawel said.The lake is located downwind from the former ASARCO smelter in Ruston. Aerial transport of lead and arsenic from the former smelter led to widespread contamination in the area and its eventual designation as one of the first Superfund sites in the nation.“Normally, when oxygen is present, arsenic tends to stick to particles and fall out of the water column,” Gawel explained, and then settle at the bottom in the sediments.Gawel is an associate professor in UW Tacoma’s School of Interdisciplinary Arts and Sciences. He studies arsenic in lakes as part of the UW Superfund Research Program housed at UW’s Department of Environmental & Occupational Health Sciences. The program—one of the first university-based Superfund research centers—conducts research on environmental chemicals and remediation practices for hazardous waste sites.Lake Killarney turned out to have levels of arsenic more than six times the minimum level that the Washington Department of Ecology identifies as likely to have harmful effects on sediment-dwelling organisms.Gawel recently co-authored a paper about arsenic in shallow lakes in Science of the Total Environment with Dr. Rebecca Neumann, assistant professor in the UW Department of Civil and Environmental Engineering.Even given the area's environmental history and the high levels of arsenic in the sediment, finding it in Lake Killarney’s water column was a surprise.Shallow lakes like Lake Killarney are less likely to show the type of stratification that larger lakes exhibit, Gawel explained. In summer, cold, heavier waters typically occupy lake bottoms in a layer that doesn’t mix with warmer surface waters because of their different densities. This stratification tends to keep arsenic trapped at the bottom of the lake.In contrast, shallow lakes warm up more thoroughly and don’t form separate layers. That leaves more opportunity for arsenic in the sediment to mix into the water.Second, arsenic resembles phosphorus in its chemical structure—enough so that microscopic marine algae can mistakenly take it up instead of the phosphorus they need to grow and reproduce.In oxygen-rich water, these phytoplankton can take up arsenic so quickly that it doesn’t have a chance to bind to particles and settle into the sediment. Instead, arsenic enters the food chain as part of the phytoplankton that feed zooplankton, insects, fish and other organisms.Does arsenic in shallow lakes pose a hazard to human health?Exposure to arsenic is known to increase the risks of cancer. But because arsenic is water-soluble, it can be flushed from the body rather than accumulating in fat, and it diminishes in concentration as it moves up the food chain.One of the biggest concerns is the level of potential arsenic exposure associated with eating warm-water fish species like sunfish, crappies and bottom-dwelling crayfish. These fish are favored by people who visit Lake Killarney and other area lakes to fish for supplemental food for their families.Gawel and Neumann are currently collaborating with Dr. Julian Olden of UW’s School of Aquatic and Fisheries Science to sample arsenic in lake fish and crayfish. Olden will begin gill-netting this summer at Lake Killarney and other area lakes.Ultimately, Gawel said the team wants to better understand the chemical and physical transfer of arsenic from sediments to lake water and characterize how much arsenic may make its way into the fish people catch and eat."
"May 31, 2018 | Amanda Pain",On the front lines of climate change,"Harvard, MassachusettsAssociate Service Fellow, National Institute for Occupational Safety and Health“Trade workers have higher (environmental) exposures than the general public because they are working in industries with concentrated chemicals or a longer duration of heat exposure. These workers often have less agency to change their environment.”- MIRIAM CALKINSApril marked a grim global milestone: the 400th consecutive month with recorded global temperatures above the 20th century average.For construction workers and others who spend long hours working outside, global warming is a trend with potentially life-or-death consequences.But how do you measure the health effects of heat exposure on individual workers? That question is at the heart of Miriam Calkin’s work as a doctoral student in the UW Department of Environmental & Occupational Health Sciences (DEOHS).In May, Calkins was selected by UW School of Public Health faculty as the winner of the 2018 Gilbert S. Omenn award, recognizing her contributions to public health, commitment to community engagement and leadership potential.Through her research, Calkins found that as temperatures rise, so do the number of traumatic injuries among construction workers as well as the number of heat-related illnesses and injuries among the general working-age population.Most surprising: Even on days when temperatures were only moderately hot, on-the-job injuries and illnesses increased, including among young, healthy workers who are typically considered more resilient.Calkins was one of the first to document the connection between heat exposure and injuries using data from the state worker’s compensation system, said DEOHS chair Michael Yost.Her work has increased awareness that the risks of working outside in hot temperatures extend to workers in construction as well as agriculture in both Eastern and Western Washington and across all age groups, Yost said.The findings point to the need for additional protection for outdoor laborers, Calkins said.“Even prior to someone’s awareness of being too hot, there is an increased risk of injuries,” Calkins said. “This means that even on a day not considered too hot for working, the industry still needs to be prepared for increased risk for injuries.”Calkins became interested in measuring heat exposure as a master’s student working with DEOHS Lecturer Tania Busch Isaksen.She used emergency response data in King County to show that temperatures above 85.5℉ increased the risk for basic life support calls by 8 percent. When temperatures hit 98℉ or more, calls for advanced life support rose 14 percent across all age groups compared to days with lower temperatures.Calkins decided to continue that research while getting her PhD at DEOHS as well as a graduate certificate in climate sciences. Her conclusion: Construction workers in Washington state are at greater risk for falls, broken bones, concussions and other traumatic injuries as temperatures rise.Researchers often measure individual heat exposure through survey questions that rely on the person’s perception of experiencing symptoms. Being able to measure actual metabolic and environmental data in real time is challenging, Calkins said.Part of Calkins’s research involved measuring individual heat exposure through devices that record the temperature immediately around each worker, rather than using a single device placed at a worksite.While the results were not statistically significant, Calkins said additional research is needed. “We know that the workers are at higher risk, but we don’t have the data right now to provide better recommendations for them.”Now is the time for workers, companies and regulatory authorities to prepare for increasing temperatures, Calkins said.Washington is one of only two states with outdoor heat rules specifically addressing on-the-job heat exposure. Some cities, including Phoenix, have also put specific regulations and safety precautions in place for outdoor workers.Seattle and other cities need to be ready to protect road crews, roofers and other construction workers who will face greater risk with rising temperatures, she said.Calkins will begin a two-year fellowship this summer with the National Institute for Occupational Safety and Health, working on a study to measure heat and particulate matter exposure among wildland firefighters.“I have an appreciation for how difficult it is to actually measure what workers are exposed to in the environment,” Calkins said. “We need more information to understand heat exposure, and I want to refine how exposure is measured and ultimately develop safer work conditions.”"
"May 29, 2018 | Jolayne Houtz",The end of TB?,"What if a simple oral swab could help eliminate a disease that kills nearly 2 million people every year?That’s the premise behind an international effort led by researchers in the UW Department of Environmental & Occupational Health Sciences (DEOHS) that could revolutionize the way tuberculosis (TB) is diagnosed.Using cotton or polyester swabs to collect bacteria samples from the mouths of patients for diagnostic testing could allow health care providers to test more people more quickly at lower cost than existing methods—and get patients into treatment faster.This promising approach just got a sizeable funding boost from the Bill & Melinda Gates Foundation, raising hopes that it could become part of the global strategy to end TB by 2030.Early diagnosis and treatment is key to reducing the spread of TB, which killed 1.7 million people in 2016, including 210,000 children, according to the World Health Organization.“With TB, there’s a week where you think you have a cold,” said DEOHS Professor Gerard Cangelosi, who leads the research study. He is also an adjunct professor of epidemiology and global health in the UW School of Public Health.“Then the second week, you think it’s really awful. And the third week, you realize you’re dying, and you go get diagnosed with TB. During that interval and until you begin treatment, you are highly contagious,” Cangelosi said.The Gates Foundation announced today that Cangelosi’s team was awarded a $100,000 Grand Challenges Explorations grant to support continued development of the oral swab diagnostic method and research into how samples can be collected, stored and transported.So how could the decidedly low-tech swab—a medicine-cabinet staple invented nearly 100 years ago—transform the global fight against TB, the world’s top infectious disease killer?First, let’s talk about sputum.To test for TB now, a health care worker gathers a sample from a suspected TB patient who coughs up thick, mucousy sputum from the lungs. Many health workers say collecting sputum is the worst part of their jobs, Cangelosi said. “It freaks them out.”Workers are at risk for exposure to the disease when patients cough. Collecting samples from children is especially hard because health workers have to make children gag until they produce enough sputum for testing.And the substance is hard to work with—even trained laboratory technicians can have difficulty identifying TB bacteria when looking at sputum samples under a microscope.In 2012, Cangelosi began an unlikely collaboration with Lisa Jones-Engel, a UW anthropologist who approached Cangelosi about a technique she was using in her veterinary research to sample for TB in monkeys.She was using swabs to collect bacteria samples from inside the cheeks of monkeys--a simple, non-invasive technique that allowed her to accurately diagnose TB.Could the same method be used in humans? Much of the TB research community was skeptical.“Nobody believed her, but I believed her,” Cangelosi said. “I was trained as a bacteriologist. You scrape surfaces because all bacteria like to stick to surfaces. That’s where they live.”The human version of the test involves a 10-second swab of the tongue or cheeks—no coughing or sputum required.Samples are then analyzed for the presence of Mycobacterium tuberculosis. Earlier research showed that researchers using the oral swab method correctly detected TB in most adult participants with the infection.Rachel Wood, a DEOHS research scientist, began working on the project with Cangelosi as a DEOHS graduate student. She remembers Cangelosi initially describing the work as “high risk, high reward.”Since then, she and lab teammates have analyzed nearly 2,000 TB samples collected by research collaborators in South Africa. Wood still gets excited when she finds positive samples. “To have it all coming together, with this being proposed as an alternative diagnostic test, is really amazing,” she said.This is the second round of Gates Foundation funding for the project, which was initially launched with seed money from DEOHS.The next step is critical: showing that “everything you can do with sputum you can do with swabs,” Cangelosi said.That means you have to be able to collect, store, transport and test samples in a way that yields results at least as accurate as the sputum method.“To have it all coming together, with this being proposed as an alternative diagnostic test, is really amazing.”- RESEARCH SCIENTIST RACHEL WOODMany TB researchers are trading their skepticism for cautious optimism that this innovative approach could help reduce the global burden of TB, he said.It’s also an example of the potential impact of increased collaboration between human and veterinary medicine. DEOHS is home to the Center for One Health Research, which investigates the links between human, animal and environmental health.If the oral swab method is validated as a new diagnostic tool, the biggest impact could be in large institutional or community settings where TB can spread quickly from person to person.“If you want to sample an entire prison or school or garment factory, you can’t get sputum samples from such large populations,” Cangelosi said. “But you can do it with oral swabs.”Other UW DEOHS research collaborators include the South African Tuberculosis Vaccine Initiative and the University of Cape Town, South Africa."
"May 24, 2018 | Jolayne Houtz",What’s in the air,"Flemington, NJContinuing his work as an air monitoring specialist with the Puget Sound Clean Air Agency.“If we can make air-quality monitors more accessible, communities and individuals can get timely data to help address air pollution in their own neighborhoods.”- GRAEME CARVLINWhere would a chemist with a serious electronics hobby and an interest in programming and atmospheric science go if he wanted to combine it all into one career focused on public health?For Graeme Carvlin, it all came together in the UW Department of Environmental & Occupational Health Sciences (DEOHS), which recently named Carvlin as our 2018 Outstanding PhD Student.Carvlin’s research led to the development of an innovative technology that empowers local communities with up-to-the-minute data about air quality at a price that is about 95 percent less than the cost of existing sensors.The monitors provide real-time air-quality data at the neighborhood level for several DEOHS-led research studies, including one investigating the role of air pollution in communities along the California-Mexico border with some of California’s worst hospitalization rates for childhood asthma.DEOHS Associate Professor Edmund Seto, who leads that project, said Carvlin’s work played an important role in 2017 California legislation that uses revenue from the state’s cap-and-trade program to fund air monitoring in communities statewide.Carvlin, who graduates this summer, worked with Imperial County, CA, to build and install a system of 40 air monitors to gather real-time data about local air pollution.The technology he developed is also being used in Seattle as part of a study investigating the link between air pollution and dementia and as part of a nationwide study examining the connection between air pollution and cardiovascular disease.The lunchbox-sized monitor includes a particle counter, gas sensors that measure gases regulated by the US Environmental Protection Agency, a microcontroller and networking card. Unlike traditional sensors that measure air pulled through a filter, the monitor actively samples air passing over its sensors, transmitting the data to a UW database.Traditional air monitors cost about $25,000 each, he said. Carvlin’s version currently costs about $1,500.Carvlin and a team of student researchers working with Seto rigorously tested and validated the new technology. Some monitors were installed next to government-tested regulatory monitors so they could compare readings.And that comparison led to an unexpected finding: The upper limit of the government monitors was set too low to catch spikes in air pollution. They weren’t able to capture data that showed days when the air quality dropped. The government ultimately adjusted its own air monitors based on Carvlin’s research.Carvlin arrived at the UW in 2014 with a master’s in chemistry from the University of California, San Diego, and learned about DEOHS and Seto’s research through a colleague.“I felt it was a good set-up there to pursue what I was interested in,” he said. “I had a lot of leeway to work on the technical side of things while also pursuing my interest in improving public health.”Pollution is linked to one in every six deaths worldwide, with two-thirds of those deaths attributed to air pollution. High-quality, affordable air monitors will enable more communities and government agencies to collect data and work to reduce air pollution emissions, Carvlin predicted.That’s already happening in Imperial County, where local community members were handed control over the monitoring system and are now talking with regulatory authorities about ways to improve air quality.Soon, the monitors will be commercially available. In 2017, Seto and Carvlin received a grant to refine the monitor’s design from the CoMotion Innovation Fund, a partnership between UW CoMotion and the Washington Research Foundation that supports promising innovations.Now they are finalizing the technology for manufacture by further reducing the cost and assembly time.Carvlin is also working on a smaller personal version—wearable technology the size of a cell phone that will offer additional features, such as GPS and an accelerometer, and let consumers monitor ambient air quality in real time."
"May 23, 2018 | Rachel Shaffer",Biking in dirty air,"I see toxic chemicals everywhere.It’s an occupational hazard for me as a toxicology PhD student in the UW Department of Environmental & Occupational Health Sciences. I spend my days learning and writing about all things environmental health, so naturally, I’m worried about my own exposures to the pollutants around us.I do what I can to minimize my exposures by buying organic, avoiding processed and packaged foods, minimizing my use of plastics, choosing fragrance-free products and searching for flame retardant-free furniture.Yet there’s one lifestyle choice that I’m not willing to give up: city biking.I bike to the UW every day. I love riding to campus; it’s my morning and evening meditation time and exercise.While I ride on the Burke-Gilman trail most of the way, there are several segments on roads. Obviously, biking on busy, car-filled streets presents immediate physical dangers.Just as worrisome to me is the air pollution I inhale as I take deep breaths alongside cars and buses. Luckily, I’m not affected by asthma or other respiratory problems. Yet I can’t help but think about the link between air pollution and other health issues, including cardiovascular disease and dementia (the subject of my PhD dissertation).Am I causing myself more harm than good on my bike commute? Why am I willing to impose strict controls on what I eat and buy, yet allow myself to breathe noxious miasma every single day?What am I breathing on my daily commute?It includes:Yuck.During vigorous exercise, we breathe in these pollutants at two to five times higher rates and more deeply than we do at rest.In studies of cyclists, researchers have found that biking in traffic is associated with short-term increases in inflammatory blood cells, decreased lung function and alterations in heart rate variability.We don’t yet fully understand the long-term consequences of these changes. While research to date suggests that the long-term benefits of biking outweigh the potential risks, current reviews may underestimate the long-term costs to my health because:I’m still trying to understand the calculations that led me to decide to expose myself to substantial pollution every day. Maybe it is because I have control in this situation? It is, after all, my choice to bike.Maybe it’s because Seattle appears to have relatively clean air compared to other places I’ve lived (Atlanta and Bangkok)?Or maybe I just love biking too much, and this is where I draw my personal line. While it is important to me to minimize harmful exposures, I can’t live in a bubble. Life involves risk, and I’ve somehow decided that this is one I’m willing to take. Biking every day brings me too much happiness to give up, at least for now.In the end, we need systemic, societal changes to make cities safer and healthier, including stricter controls of vehicle emissions and better bicycling infrastructure.- RACHEL SHAFFERWhile I continue to bike, there are things I can do to reduce my exposures.In addition to consistently wearing the air pollution mask I bought last summer, I can check local air quality (like through this pollution app) and avoid riding on particularly bad days. When bike paths are not available, I can find alternate routes on low-traffic roads where I will be less exposed to dirty air.As individuals, we have limited control over our own exposures. In the end, we need systemic, societal changes to make cities safer and healthier, including stricter controls of vehicle emissions, increased use of electric vehicles, improved public transportation, better bicycling infrastructure and more green space.Ultimately, I hope that my own research can demonstrate the importance of strengthening air quality regulations and inform policies to reduce exposures.It’s personal now.Read an extended version of this post on the Rachel Talks Tox blog."
